@T,table,
@H,timestamp,val_2
ID,  ,2
,2018-06-27 11:00,0.0217511366
,2018-06-27 12:00,0.0231967148
,2018-06-27 13:00,0.0222959511
,2018-06-27 14:00,0.0219930578
,2018-06-27 15:00,0.0221643473
,2018-06-27 16:00,0.0219210412
,2018-06-27 17:00,0.0215398478
,2018-06-27 18:00,0.0211972517
,2018-06-27 19:00,0.0205827058
,2018-06-27 20:00,0.021559092
,2018-06-27 21:00,0.0211386088
,2018-06-27 22:00,0.0207839631
,2018-06-27 23:00,0.0197504856
,2018-06-28 00:00,0.0207734289
,2018-06-28 01:00,0.0208412603
,2018-06-28 02:00,0.0212994706
,2018-06-28 03:00,0.0204997279
,2018-06-28 04:00,0.0208395134
,2018-06-28 05:00,0.0210922798
,2018-06-28 06:00,0.0205459981
,2018-06-28 07:00,0.0210316083
,2018-06-28 08:00,0.0214757954
,2018-06-28 09:00,0.0211238416
,2018-06-28 10:00,0.0220584023
,2018-06-28 11:00,0.0212560198
,2018-06-28 12:00,0.0210475818
,2018-06-28 13:00,0.0214235682
,2018-06-28 14:00,0.021073772
,2018-06-28 15:00,0.0199929973
,2018-06-28 16:00,0.0204570771
,2018-06-28 17:00,0.0202131997
,2018-06-28 18:00,0.0196039138
,2018-06-28 19:00,0.0197119778
,2018-06-28 20:00,0.0204594018
,2018-06-28 21:00,0.0201198699
,2018-06-28 22:00,0.0196232498
,2018-06-28 23:00,0.0200666718
,2018-06-29 00:00,0.0197509257
,2018-06-29 01:00,0.0199672642
,2018-06-29 02:00,0.0199230448
,2018-06-29 03:00,0.0207890814
,2018-06-29 04:00,0.0201867211
,2018-06-29 05:00,0.0201211338
,2018-06-29 06:00,0.0209129628
,2018-06-29 07:00,0.0205219211
,2018-06-29 08:00,0.0209670673
,2018-06-29 09:00,0.0208846205
,2018-06-29 10:00,0.0206379282
,2018-06-29 11:00,0.0210173167
,2018-06-29 12:00,0.0211039196
,2018-06-29 13:00,0.020506844
,2018-06-29 14:00,0.0204748883
,2018-06-29 15:00,0.0210280457
,2018-06-29 16:00,0.0208268854
,2018-06-29 17:00,0.0205616138
,2018-06-29 18:00,0.0202427282
,2018-06-29 19:00,0.0195229484
,2018-06-29 20:00,0.0211004104
,2018-06-29 21:00,0.0204085168
,2018-06-29 22:00,0.0210151248
,2018-06-29 23:00,0.0200636103
,2018-06-30 00:00,0.0206032118
,2018-06-30 01:00,0.0206014211
,2018-06-30 02:00,0.0209121541
,2018-06-30 03:00,0.0204106166
,2018-06-30 04:00,0.0204254391
,2018-06-30 05:00,0.0210304337
